Date,Headline,URL
2024-09-15,Grameenphone and Symphony Launch Co-Branded 4G Smartphone - The Business Standard,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOTDlxRHNQSUpERW9jUzdyb3JOaXR2WTVEaWpwQi0teVNfcmgxNWtVdGwzMk5jM1M2VUx1WnI1OE9uSXNGc3V3ejhGUF9vRnJLbmJmamdKbnJTb3J5dXBKRzZkNjdJLThQaFBjWFNjb2cwM2JFdHRjY29NWm9mUXVvUF9EQnhydjJVcTQ3VnJUQW5waVRBSzNHWkg2SmozdGRWLTh2Sng4NW1GS3PSAbABQVVfeXFMTlBCTUlKVFozclUxSHdjbHZzdzJZNGV6SXVWZGl2cjh5eU5JNjBsMWplaHpoVHZIVzU2U3dEU1BHWWEtQl9Cc0Vha0NxWXF6Wm9IUlI3WDR3RF9jTUg5ZklBdnFhS1VvWWtqUHB5XzNFX2VwcUlXSmNJZjJLR2ZtbjE3WDEzNGptMjdneHdIYkZRTEtiZUhlYUlUN0wwZ3lhaUhSMGVVRDQ3VENWalk3ZFM?oc=5
2024-09-24,Grameenphone enriches customer experience with Ericsson - Dhaka Tribune,https://news.google.com/rss/articles/CBMilgFBVV95cUxOUTlBR3V0N3pnSFdLZnZNQTh6SnE1VmkyM1RmaGtGMDlUQkxSdEwtcmFMa05DckpTUzRRWTd6NjVKMmdCOXNjVTgwUGJBOGJNLUZ6MWdSeGpSam8xMnVhN0l4TkIwZXlfUllpWk5oTl9YT3pPVmNMa1Z6SmN1dmg1R3JnYWtJcmpIeEdjTkpNNi1oOVJ3bUHSAZsBQVVfeXFMTk5DRDRXNUVJVmwtUnVZRXZNTnJvUGRTVFpSbTd0Zm1vSDZtVmI5ektFVXdHYkU3OS15alVzN1gzdC12a0RaZkljSGhLZU5sOTVUdUpzWloxR2R0UVBvd1NoVzVfR3gtb0ZCXzE2N0p1YUw1QzNYcEZtR21xZ2VUa1ViQTlfTnNMNENWalZEcnd5SzgzWUF2Y09KVDg?oc=5
2024-09-29,"Grameenphone’s market cap gains Tk14,000cr since Hasina-led government change - The Business Standard",https://news.google.com/rss/articles/CBMitgFBVV95cUxOTjJVQV8zdXREZTdHdllFZmFoa2VoUXVFZXF5SzBtaktjSmhPZU1HQ2lCTjFwaUZGallNUDVZei1sdDlXZDN2OUVqM18zMlBQbG12S21BRFhBV2pIc2VTRnJtOWwxdGNMQ3FISGxOUW1vOE51SWxvNkd3MUF1Njh2UERwOXpNV2ZXQUctckFTUktud2VXYnQ1Y1ZBTFZJMHk4aXJjUGtRelRHT2RrYm5GUTc4czhaQdIBuwFBVV95cUxQU3Z0dkNXUTlqa3FPXy1lYTZXdXF6dkJNek5KalNWY01Fc2M3LWQtcjlrTTVYaE5uTzFmcDRfdTFmMGdTMi1UWEplUW44QTNnRThjY1hxQ3B0SGJJR1Y4WTRrdGU0S0tpN3kzc0xZS1lHRjNvOExrMnRpREJvYmVHdUdHbDFwZC1RNTRRQm5PUWd6b3NXNzBmSm5UeEptTUx2RFk0c3ZrUWQ2MXhGWUFDWk9ZZThxMnljSm5N?oc=5
2024-10-02,"ULAB, Grameenphone sign MoU to enhance educational collaboration - Dhaka Tribune",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNOGNzUlg4WFY0aVhBc3YwZm1JaGxkM2MtV1BvdjRWZkN3amxFNGNnYVZzOXhnUElQOThOemNKXzRfX1pWYk1CdjFvQ2l2eG1aUzdPLWVZbGJOdUhJbHFXeEVPbnpRSzlKeEw0OHMyUWUtTFRRRHVzeXVwZFFqampRWDZrWVdZQV9yYlh4SFBMYU1xSjd5NU5sZG5MekNqc3cwZnR4YnF2N2Jkd9IBrwFBVV95cUxNbXpaY3dZV3AwYXFWbHZBY0owaVVVQjBvQm8waE54OThKMmdrQi14dnY0N3N5ODFKMVZJdlRGTVpCVmRnQzFCcThLdlpJTWJHWnVuSm9BbG5YM3B0VTR2cVRoVkM1VkxVUGVyQk40T1IxQXVzWU1kQ1MtcE5zZXF4bVhCRGxFbmhUVnZfMUpBbUxZZ2dzLVlRZkx0dTdMX0QwNE5URHNKbk5vSERKWmJj?oc=5
2024-09-25,Grameenphone enhances customer experience with world’s largest data mediation tool deployment from Ericsson - The Business Standard,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOVm5JVGdyZ1ZWQWJZMkNqSDg1Q3g2NjV3VjhWaUFIWi1TaHk4N2ExVUl6Vlh0d2dWdUI5eTRsRVJqWHpBeGNJNWl5UGtWd0lKMHdUd2o0ekNuM29Xa2dMclhkUTl4NUZPekJsMUNpRG52ZjBCZXVzRGFXSk9QUHB0aHlaQkdZQkZjeHdQZ2Rhb0owaWxIYmRKRTNZcVRMalQwZVRfYzA1aWZPQmZrYkJPREYxcGU4a0hPUnRB0gHAAUFVX3lxTE5VbXNCcDRQelBFU2NPSnJSTndlZGRNMjNXSFpLbzBQTV9leDE4SDdZenBWaGxzTTdDNk1JZlUzM3pzS2Q5aVFURTVnVjgzeVRwSXFNa2g3TDZCQko2bmQyRWd4c19scmt4SnAwOTg3ajdKdGxtUmFXY1A4NVFjandicE9iWGc4Z3NOTE1Remw0Uk9PZEt3dUlYZjBLQU8xZ1haZno5Zm9XaUZNS1Z6cWJHZXdZanp0bXd2eU9EckhqYQ?oc=5
2024-09-29,Grameenphone contributes Tk 24.44 crore to Bangladesh Labour welfare fund - The Business Standard,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOWDJTM3BDdVdlREpic3hrWERVaWxpeWhCRXp4ZFl6Y2RFVmM0RFVqVjhYSEFldzhVbXZ5N0RTVzhYNlE5c2FsT0dkLUdxU0tEUnpIaDFtYUZkQ2ZuT0t5c3RoUlVYUl9nRWNQTHBuSUxIZ3h2T2k2QjhndlNTaFR2WFpENl8zNHEzcjlLamo3cEpTUWUwQlRzUXJhR3hqV3VqdjRSVE5QOGU0VUZFbkozT1J1dFgydlFLb3R30gHAAUFVX3lxTE5TaVc4Y1ZNQXlaZENUaENRMnZpV1ZBZEpuX2hHZ3Yxb282R0Q2QVM4LXhvQ1VLWXl6Tl9Hdnk1N3hDQWs5TXBwX3B3dFVYSEpKNEFTT0U3REE5ekxkVnM5eDdMYy1hSU8yZ3FiRjZSSUY4ZWtXcDY3X3VZcmxYSUFxMnlRV3ZSODZrbmF0eW5UazdqYkNuUjdmTm45bVRlbGROcElMVXF0UmQ2SGNyU1NNZnVSNWRsNXkzazdmVWRqSg?oc=5
2024-10-04,Grameenphone adopts Ericsson Mediation platform for customer billing - Telecompaper,https://news.google.com/rss/articles/CBMisAFBVV95cUxQYVRRaS0tRm9WczhTVVBGQzRlSXl3OEx6MUpEMExoWGs0UEwwb2VQWkd2bWo4WXJXTHFWUmJscndtYkVfcFhPR3pPb3pTTHNJMFYzU19MRnBPa1pjd2ZBaDZ4T1hwRkx1Q0VEbGhRZFE2bVpVWnRPN3ZtZWlraVhWRmxKLWdBUDdLZ3RwdUNMbHJmSTcybWtSaHNrX1JuejhfSHBqaUdmVDhFMmJxRzd4dg?oc=5
2024-10-08,Grameenphone to introduce speed-based mobile internet similar to WiFi - The Daily Star,https://news.google.com/rss/articles/CBMitAFBVV95cUxOX1pTencwS1RzRzI2ZGk4YmpmdTZqVldfT0dJTlE1cjJJTHJMMV9RQXExV1llQjV5eDRteFJ5THZKX2l1SUU1NlY4RG9KWjBhczlmY1l3dFBXTk5qUUtzRmZpZ2MyTGtVUlZ2VXBUWEdHM1VOekUwaVV4alhKR2dxWjhwVHpBT1Y4anZiUURlc0dTYndJd3VSNmNIUnBZVlFHUXQwRktxV0xqbm10ckdVX3RQMHA?oc=5
2024-10-14,Grameenphone deploys Ericsson Mediation solutions - TelecomLead,https://news.google.com/rss/articles/CBMingFBVV95cUxPeWF2cGloNXlHMmR6UV92MUlDd2tsSlVZU3JFbEhkNDIyVFJ1UU5ZSFhFZFVZbkJldTJuUnkzWEhYZS0zeGdiNzRZVm94VWVNazdYNDhFVlEtWXpfZ0FCa29DNUYwUW9PV2JkeURiLVlaengtdkFZaUJOYjBFdlRtNGhfSTdEMXp5NV9rSXpfRndmOGtNWHFPNlFxbWV3QdIBpgFBVV95cUxPTENxLVdmbEtnX3NGTEhVb3RGc1pMaU95WHBtSGFpcWRidW90OU11VHZvZTFPaWFFSUc0SE1IbUtPQVBJZElWbmFEWlowcl9FWDYyczZVR2hkVDdBTldldXY0OTVRejUta21UWEt0QWpsTV9ZODVIamJPUWVSZmUzek1mclI1SkNDckVkMVZ6NG9ab0hjLU1ydFhLZVJCUi1sNTRMdkxn?oc=5
2024-10-09,Grameenphone launches Bangladesh’s first limitless internet packs - The Daily Star,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOWGNWeUZKRVdsTjgtbElVdHUxSmxvODJfTFEtNEpacmthUEJrWHpqRXFqaXNGQmE3SEpLRFBlbEluU0w1aUZmbUxmRE8taGhkMnJra3Y2N3JIekgzOVVkM1VsWkRmckFlLUtqYWQ3Wjk1QTcxVHotZEVWWnNfdXVwY0JRdURCMWFvSWtybVJtaUlJSU1HcnNRSU9wNXV2RHM1aG8tdFQtcXZrMnRDM2s0WFZMYURGYklmcVlj?oc=5
