Date,symbol,ltp,high,low,open,close,ycp,trade,value,volume
2024-05-25,BRACBANK,35.3,36.2,35.2,35.9,35.3,36.2,773.0,25.674,715067.0
2024-05-26,BRACBANK,34.7,35.9,34.3,35.9,34.7,35.3,323.0,22.418,649062.0
2024-05-27,BRACBANK,34.7,35.6,33.9,34.7,34.5,34.7,418.0,21.503,618297.0
2024-05-28,BRACBANK,34.0,35.4,33.9,35.4,34.0,34.5,352.0,14.038,406047.0
2024-05-29,BRACBANK,34.4,35.9,33.5,35.9,34.4,34.0,255.0,9.785,287243.0
2024-05-30,BRACBANK,33.7,34.8,33.5,34.8,33.7,34.4,496.0,20.765,610667.0
2024-05-31,BRACBANK,33.7,34.8,33.5,34.8,33.7,34.4,496.0,20.765,610667.0
2024-06-01,BRACBANK,33.7,34.8,33.5,34.8,33.7,34.4,496.0,20.765,610667.0
2024-06-02,BRACBANK,34.8,34.8,33.6,34.3,34.6,33.7,230.0,7.621,221303.0
2024-06-03,BRACBANK,33.9,34.5,33.7,34.5,33.9,34.6,320.0,26.751,788588.0
2024-06-04,BRACBANK,34.0,34.1,33.8,33.9,33.8,33.9,327.0,17.107,503964.0
2024-06-05,BRACBANK,34.5,34.5,33.8,33.9,34.2,33.8,240.0,8.484,249284.0
2024-06-06,BRACBANK,33.9,34.3,33.7,34.0,33.9,34.2,293.0,49.706,1464091.0
2024-06-07,BRACBANK,33.9,34.3,33.7,34.0,33.9,34.2,293.0,49.706,1464091.0
2024-06-08,BRACBANK,33.9,34.3,33.7,34.0,33.9,34.2,293.0,49.706,1464091.0
2024-06-09,BRACBANK,33.7,34.5,33.2,34.5,33.7,33.9,334.0,19.39,576164.0
2024-06-10,BRACBANK,33.3,33.7,33.0,33.7,33.3,33.7,612.0,55.829,1677685.0
2024-06-11,BRACBANK,33.3,34.2,32.4,34.2,33.2,33.3,412.0,110.261,3313140.0
2024-06-12,BRACBANK,33.6,34.0,32.6,32.6,33.6,33.2,594.0,34.279,1019459.0
2024-06-13,BRACBANK,34.0,34.0,33.5,34.0,34.0,33.6,228.0,19.592,576709.0
2024-06-14,BRACBANK,34.0,34.0,33.5,34.0,34.0,33.6,228.0,19.592,576709.0
2024-06-15,BRACBANK,34.0,34.0,33.5,34.0,34.0,33.6,228.0,19.592,576709.0
2024-06-16,BRACBANK,34.0,34.0,33.5,34.0,34.0,33.6,228.0,19.592,576709.0
2024-06-17,BRACBANK,34.0,34.0,33.5,34.0,34.0,33.6,228.0,19.592,576709.0
2024-06-18,BRACBANK,34.0,34.0,33.5,34.0,34.0,33.6,228.0,19.592,576709.0
2024-06-19,BRACBANK,33.8,34.0,33.1,34.0,33.8,34.0,164.0,11.449,341127.0
2024-06-20,BRACBANK,34.2,34.2,33.8,33.8,34.2,33.8,283.0,25.688,754303.0
2024-06-21,BRACBANK,34.2,34.2,33.8,33.8,34.2,33.8,283.0,25.688,754303.0
2024-06-22,BRACBANK,34.2,34.2,33.8,33.8,34.2,33.8,283.0,25.688,754303.0
2024-06-23,BRACBANK,33.9,34.6,33.9,34.1,33.9,34.2,228.0,22.212,651309.0
2024-06-24,BRACBANK,34.4,34.4,33.9,34.4,34.1,33.9,413.0,18.362,539741.0
2024-06-25,BRACBANK,34.6,34.9,33.6,34.1,34.5,34.1,403.0,138.505,4019143.0
